,listing_id,address,no_rooms,price,property_types,property_link,reduced/added,date_reduced/added,no_pictures,latitude,longitude,agent_name,agent_number,most_recent_scrape_date,initial_scrape_date
88,78487022,"Southwark Park Road, London, SE16 2EF",3,"£350,000", flat,https://www.rightmove.co.uk//property-for-sale/property-78487022.html,Added ,2019-10-01 00:00:00,1,51.4982,-0.05958,"Hunters, Surrey Quays",020 8012 4439,22/02/2019,21/02/2019
89,59438403,Tabard Street London SE1,2,"£475,000", flat,https://www.rightmove.co.uk//property-for-sale/property-59438403.html,Added ,2019-10-01 00:00:00,6,51.49633,-0.08804,"Acorn, Kennington",020 8012 4352,22/02/2019,21/02/2019
90,53611770,"The Rise, Borough SE1",1,"£500,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-53611770.html,Reduced ,2019-10-01 00:00:00,12,51.50095,-0.09577,"Leonard Leese, London",020 8012 3009,22/02/2019,21/02/2019
91,77114030,"Procter House, Avondale Square, London, SE1",1,"£285,000", flat,https://www.rightmove.co.uk//property-for-sale/property-77114030.html,Reduced ,2019-09-01 00:00:00,9,51.487274,-0.069061,"Stirling Ackroyd, London Bridge",020 8012 2405,22/02/2019,21/02/2019
92,76335077,"Bermondsey Square, London, SE1",1,"£499,950", apartment,https://www.rightmove.co.uk//property-for-sale/property-76335077.html,Reduced ,2019-09-01 00:00:00,7,51.497962,-0.081423,"Williams Lynch, London",020 8012 2590,22/02/2019,21/02/2019
93,69360685,"Tabard Street, Borough, SE1",2,"£475,000", flat,https://www.rightmove.co.uk//property-for-sale/property-69360685.html,Added ,2019-09-01 00:00:00,5,51.496134,-0.088119,"Foxtons, London Bridge",020 8012 6757,22/02/2019,21/02/2019
94,52594011,"Rockingham Street, SE1",3,"£495,000", apartment,https://www.rightmove.co.uk//property-for-sale/property-52594011.html,Added ,2019-08-01 00:00:00,7,51.49574,-0.09628,"Leonard Leese, London",020 8012 3009,22/02/2019,21/02/2019
95,58063200,Mason Street Walworth SE17,1,"£325,000", flat,https://www.rightmove.co.uk//property-for-sale/property-58063200.html,Reduced ,2019-07-01 00:00:00,7,51.49305,-0.08587,"Acorn, Kennington",020 8012 4352,22/02/2019,21/02/2019
96,76203437,"Burbage Close, London Bridge",2,"£330,000", flat,https://www.rightmove.co.uk//property-for-sale/property-76203437.html,Reduced ,2019-07-01 00:00:00,5,51.496344,-0.089928,"Dexters, London Bridge",020 7650 5100,22/02/2019,21/02/2019
97,57944817,"Lant Street, Borough",2,"£500,000", flat,https://www.rightmove.co.uk//property-for-sale/property-57944817.html,Reduced ,2019-04-01 00:00:00,15,51.50133,-0.09705,"Kinleigh Folkard & Hayward - Sales, London Bridge",020 8012 2031,22/02/2019,21/02/2019
